gene ID,gene name,mRNA,miRNAs
WBGene00000027,abu-4,Y5H2A.3.1,"cel-miR-51-5p,cel-miR-72-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-80-3p,cel-miR-86-5p,cel-miR-235-3p,cel-miR-61-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-45-3p,cel-miR-252-5p,cel-miR-46-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-53-5p"
WBGene00000028,abu-5,Y105C5A.4.1,"cel-miR-72-5p,cel-miR-58a-3p,cel-miR-228-5p,cel-miR-64-5p"
WBGene00000029,abu-6,C03A7.7.1,"cel-miR-72-5p,cel-miR-242,cel-miR-228-5p,cel-miR-52-5p,cel-miR-73-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-74-3p,cel-miR-34-5p,cel-let-7-5p,cel-miR-64-5p,cel-miR-71-5p"
WBGene00000030,abu-7,C03A7.8.1,"cel-miR-72-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-80-3p,cel-miR-74-3p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-242,cel-miR-52-5p,cel-miR-228-5p,cel-miR-48-5p,cel-let-7-5p,cel-miR-64-5p,cel-lin-4-5p"
WBGene00000031,abu-8,C03A7.14.1,"cel-miR-72-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-52-5p,cel-miR-242,cel-miR-228-5p,cel-miR-50-5p,cel-miR-48-5p,cel-let-7-5p,cel-miR-64-5p,cel-lin-4-5p"
WBGene00000032,abu-9,R09F10.2.1,"cel-miR-72-5p,cel-miR-228-5p,cel-miR-73-3p,cel-miR-229-5p,cel-miR-238-3p,cel-miR-74-3p,cel-miR-71-5p"
WBGene00000033,abu-10,F35A5.3.1,"cel-miR-72-5p,cel-miR-52-5p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-74-3p,cel-miR-34-5p,cel-miR-8187-3p,cel-miR-8188-5p,cel-miR-70-3p,cel-miR-71-5p"
WBGene00000034,abu-11,T01D1.6.1,"cel-miR-72-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-73-3p,cel-miR-66-5p,cel-miR-74-3p,cel-miR-34-5p,cel-miR-124-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-235-3p,cel-miR-87-3p"
WBGene00000035,ace-1,W09B12.1.1,"cel-miR-51-5p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-788-3p,cel-miR-60-3p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-63-3p,cel-miR-80-3p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-239a-5p,cel-miR-238-3p,cel-miR-81-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-45-3p,cel-miR-56-3p,cel-miR-62,cel-miR-252-5p,cel-miR-48-5p,cel-miR-65-5p,cel-miR-46-3p,cel-miR-231-3p,cel-miR-53-5p,cel-miR-87-3p"
WBGene00000036,ace-2,Y44E3A.2.1,"cel-miR-72-5p,cel-miR-55-3p,cel-miR-1-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-54-3p,cel-miR-239a-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-228-5p,cel-miR-56-3p,cel-miR-1020-3p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-2-3p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-82-3p,cel-miR-58a-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-66-5p,cel-miR-86-5p,cel-miR-79-3p,cel-miR-8187-3p,cel-miR-8188-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-83-3p"
